,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,songName
0,0.646,0.645,4,-7.214,0,0.0338,0.764,0.114,0.137,0.473,140.987,audio_features,3Uw2se3aQU1UFrpRBvBnB4,spotify:track:3Uw2se3aQU1UFrpRBvBnB4,https://api.spotify.com/v1/tracks/3Uw2se3aQU1UFrpRBvBnB4,https://api.spotify.com/v1/audio-analysis/3Uw2se3aQU1UFrpRBvBnB4,249040,4,Sept. 16
1,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,audio_features,0W6I02J9xcqK8MtSeosEXb,spotify:track:0W6I02J9xcqK8MtSeosEXb,https://api.spotify.com/v1/tracks/0W6I02J9xcqK8MtSeosEXb,https://api.spotify.com/v1/audio-analysis/0W6I02J9xcqK8MtSeosEXb,138293,4,Get Into It (Yuh)
2,0.691,0.829,0,-7.179,1,0.0412,0.0289,0.0,0.254,0.866,93.059,audio_features,6FvSS3Goz7OC8oCC2eWqe8,spotify:track:6FvSS3Goz7OC8oCC2eWqe8,https://api.spotify.com/v1/tracks/6FvSS3Goz7OC8oCC2eWqe8,https://api.spotify.com/v1/audio-analysis/6FvSS3Goz7OC8oCC2eWqe8,169154,4,Jalebi Baby (Tesher x Jason Derulo)
3,0.695,0.884,6,-2.278,0,0.0753,0.0561,0.0,0.213,0.914,103.014,audio_features,39LLxExYz6ewLAcYrzQQyP,spotify:track:39LLxExYz6ewLAcYrzQQyP,https://api.spotify.com/v1/tracks/39LLxExYz6ewLAcYrzQQyP,https://api.spotify.com/v1/audio-analysis/39LLxExYz6ewLAcYrzQQyP,203808,4,Levitating
4,0.748,0.74,8,-6.01,1,0.0484,0.0107,2.18e-05,0.101,0.518,121.004,audio_features,6OGogr19zPTM4BALXuMQpF,spotify:track:6OGogr19zPTM4BALXuMQpF,https://api.spotify.com/v1/tracks/6OGogr19zPTM4BALXuMQpF,https://api.spotify.com/v1/audio-analysis/6OGogr19zPTM4BALXuMQpF,220196,4,Take My Breath
5,0.41,0.602,5,-9.545,1,0.0589,0.407,0.142,0.635,0.393,134.224,audio_features,2ZDRkJrKbceJRgLKkuex14,spotify:track:2ZDRkJrKbceJRgLKkuex14,https://api.spotify.com/v1/tracks/2ZDRkJrKbceJRgLKkuex14,https://api.spotify.com/v1/audio-analysis/2ZDRkJrKbceJRgLKkuex14,184240,5,4 Da Kidz
6,0.681,0.687,9,-7.612,1,0.332,0.0555,0.0,0.062,0.588,108.641,audio_features,21AJQhGZpujjZQXByZAXpr,spotify:track:21AJQhGZpujjZQXByZAXpr,https://api.spotify.com/v1/tracks/21AJQhGZpujjZQXByZAXpr,https://api.spotify.com/v1/audio-analysis/21AJQhGZpujjZQXByZAXpr,190345,3,REPEAT IT (with Gunna)
7,0.801,0.688,1,-4.594,1,0.396,0.144,0.0,0.107,0.5,162.928,audio_features,1MIGkQxcdAt2lDx6ySpsc5,spotify:track:1MIGkQxcdAt2lDx6ySpsc5,https://api.spotify.com/v1/tracks/1MIGkQxcdAt2lDx6ySpsc5,https://api.spotify.com/v1/audio-analysis/1MIGkQxcdAt2lDx6ySpsc5,157675,4,SUVs (Black on Black)
8,0.597,0.433,10,-10.28,0,0.0444,0.0762,0.0,0.117,0.159,114.915,audio_features,0xgMhStlvnlNzwewETY4L6,spotify:track:0xgMhStlvnlNzwewETY4L6,https://api.spotify.com/v1/tracks/0xgMhStlvnlNzwewETY4L6,https://api.spotify.com/v1/audio-analysis/0xgMhStlvnlNzwewETY4L6,144000,4,No Limit
9,0.914,0.655,6,-5.333,0,0.294,0.00245,0.0,0.0817,0.705,143.975,audio_features,4LH1gsNA3wUS6QKkGZoJN8,spotify:track:4LH1gsNA3wUS6QKkGZoJN8,https://api.spotify.com/v1/tracks/4LH1gsNA3wUS6QKkGZoJN8,https://api.spotify.com/v1/audio-analysis/4LH1gsNA3wUS6QKkGZoJN8,153863,4,XXL
10,0.733,0.82,1,-7.288,1,0.24,0.239,0.0,0.335,0.625,97.732,audio_features,3f4NZkjWlw6jsS8B7I49hE,spotify:track:3f4NZkjWlw6jsS8B7I49hE,https://api.spotify.com/v1/tracks/3f4NZkjWlw6jsS8B7I49hE,https://api.spotify.com/v1/audio-analysis/3f4NZkjWlw6jsS8B7I49hE,209480,4,Space Hos
11,0.571,0.717,6,-8.333,1,0.336,0.359,3.12e-06,0.797,0.881,87.54,audio_features,4WM1hvYr2NC6bQnQXcj3sH,spotify:track:4WM1hvYr2NC6bQnQXcj3sH,https://api.spotify.com/v1/tracks/4WM1hvYr2NC6bQnQXcj3sH,https://api.spotify.com/v1/audio-analysis/4WM1hvYr2NC6bQnQXcj3sH,131867,4,Meat Grinder
12,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,audio_features,0k4d5YPDr1r7FX77VdqWez,spotify:track:0k4d5YPDr1r7FX77VdqWez,https://api.spotify.com/v1/tracks/0k4d5YPDr1r7FX77VdqWez,https://api.spotify.com/v1/audio-analysis/0k4d5YPDr1r7FX77VdqWez,186173,4,You Right
13,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,audio_features,3Vi5XqYrmQgOYBajMWSvCi,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,https://api.spotify.com/v1/tracks/3Vi5XqYrmQgOYBajMWSvCi,https://api.spotify.com/v1/audio-analysis/3Vi5XqYrmQgOYBajMWSvCi,210560,4,Need To Know
14,0.584,0.859,8,-5.616,1,0.121,0.0144,0.0,0.847,0.369,77.005,audio_features,2BITQ360Knh6qNAOqR7Dyq,spotify:track:2BITQ360Knh6qNAOqR7Dyq,https://api.spotify.com/v1/tracks/2BITQ360Knh6qNAOqR7Dyq,https://api.spotify.com/v1/audio-analysis/2BITQ360Knh6qNAOqR7Dyq,236883,4,Miss The Rage (feat. Playboi Carti)
15,0.784,0.756,9,-5.915,1,0.0658,0.0778,0.0113,0.111,0.687,146.042,audio_features,5RWp0wbRWI5rC8qemJ42h8,spotify:track:5RWp0wbRWI5rC8qemJ42h8,https://api.spotify.com/v1/tracks/5RWp0wbRWI5rC8qemJ42h8,https://api.spotify.com/v1/audio-analysis/5RWp0wbRWI5rC8qemJ42h8,132640,4,Y DON'T U
16,0.752,0.563,3,-8.066,0,0.209,0.146,0.0,0.103,0.551,145.05,audio_features,4VW44pawoOHPUjlN7DX5vk,spotify:track:4VW44pawoOHPUjlN7DX5vk,https://api.spotify.com/v1/tracks/4VW44pawoOHPUjlN7DX5vk,https://api.spotify.com/v1/audio-analysis/4VW44pawoOHPUjlN7DX5vk,178776,4,GANG GANG (with Lil Wayne)
17,0.711,0.692,4,-4.34,0,0.056,0.286,1.73e-05,0.238,0.604,98.929,audio_features,0RY6G1JjcZNJP6QtCFlzHm,spotify:track:0RY6G1JjcZNJP6QtCFlzHm,https://api.spotify.com/v1/tracks/0RY6G1JjcZNJP6QtCFlzHm,https://api.spotify.com/v1/audio-analysis/0RY6G1JjcZNJP6QtCFlzHm,217395,4,Just For Me (feat. SZA) - Space Jam: A New Legacy
18,0.825,0.323,7,-11.158,0,0.124,0.532,0.000228,0.0752,0.117,115.238,audio_features,4uZN4qoIhwCQz3HcthbcGv,spotify:track:4uZN4qoIhwCQz3HcthbcGv,https://api.spotify.com/v1/tracks/4uZN4qoIhwCQz3HcthbcGv,https://api.spotify.com/v1/audio-analysis/4uZN4qoIhwCQz3HcthbcGv,250671,3,Dolce & Gabbana - Slowed
19,0.62,0.586,1,-6.612,1,0.212,0.155,0.0,0.535,0.487,137.131,audio_features,5fbHRCsGpFIOLRtlhCRFDR,spotify:track:5fbHRCsGpFIOLRtlhCRFDR,https://api.spotify.com/v1/tracks/5fbHRCsGpFIOLRtlhCRFDR,https://api.spotify.com/v1/audio-analysis/5fbHRCsGpFIOLRtlhCRFDR,130980,4,LEMONHEAD (feat. 42 Dugg)
20,0.727,0.904,10,-3.408,0,0.064,0.0153,0.55,0.0963,0.372,124.02,audio_features,3M89zvwwb1jtDUDKYNsdiA,spotify:track:3M89zvwwb1jtDUDKYNsdiA,https://api.spotify.com/v1/tracks/3M89zvwwb1jtDUDKYNsdiA,https://api.spotify.com/v1/audio-analysis/3M89zvwwb1jtDUDKYNsdiA,128500,4,Calabria (feat. Lujavo & Nito-Onna)
21,0.666,0.63,3,-8.067,0,0.346,0.216,1.33e-06,0.181,0.713,145.087,audio_features,5RXOfsXcysYnhjEwXFTkG3,spotify:track:5RXOfsXcysYnhjEwXFTkG3,https://api.spotify.com/v1/tracks/5RXOfsXcysYnhjEwXFTkG3,https://api.spotify.com/v1/audio-analysis/5RXOfsXcysYnhjEwXFTkG3,202000,4,Brave (feat. Dakk & EVAN GIIA)
